t,value
0,374.55
1,374.3497997997998
2,374.16961961961965
3,373.88933933933936
4,374.61006006006005
5,373.6891391391392
6,374.36981981981984
7,374.3297797797798
8,373.548998998999
9,373.56901901901904
10,373.6290790790791
11,374.48993993994
12,374.65010010010013
13,373.90935935935937
14,374.2096596596597
15,374.40985985985986
16,374.61006006006005
17,374.8102602602603
18,374.99044044044047
19,375.17062062062064
20,375.3107607607608
21,375.43088088088086
22,375.530980980981
23,375.5910410410411
24,375.5910410410411
25,375.551001001001
26,375.45090090090093
27,375.3307807807808
28,375.17062062062064
29,375.0104604604605
30,374.8302802802803
31,374.6300800800801
32,374.4298798798799
33,374.2496996996997
34,373.9293793793794
35,373.8092592592593
36,374.52997997998
37,373.6290790790791
38,373.56901901901904
39,373.548998998999
40,374.3297797797798
41,374.36981981981984
42,373.66911911911916
43,373.7491991991992
44,374.7301801801802
45,374.1295795795796
46,374.32977977977976
47,374.52997997998
48,374.7301801801802
49,374.93038038038037
50,375.0905405405406
51,375.2507007007007
52,375.39084084084084
53,375.49094094094096
54,375.5910410410411
55,375.5910410410411
56,375.571021021021
57,375.49094094094096
58,375.39084084084084
59,375.2507007007007
60,375.0905405405406
61,374.91036036036036
62,374.7301801801802
